student_id,department,year_of_study,residence_type,record_date,sleep_hours,study_hours,screen_time_hours,social_media_hours,physical_activity_minutes,class_attendance_hours,break_hours,assignments_due_count,tests_upcoming_count,submission_deadline_proximity,lab_hours,project_work_hours,stress_level,mood_score,fatigue_level,motivation_score
1001,ECE,1,Day Scholar,2025-02-04,5.6,8.9,2.5,1.6,33,3.6,2.2,1,1,7,3.1,1.5,8,2.0,9,8
1001,ECE,1,Day Scholar,05/02/2025,,4.0,7.9,2.5,56,,0.0,1,1,7,1.3,2.8,8,,6,5
1001,ECE,1,Day Scholar,06-02-2025,6.7,5.5,4.3,2.3,40,5.4,2.6,1,0,14,1.6,2.8,6,7.0,7,7
1001,ECE,1,Day Scholar,07/02/2025,6.9,6.4,5.0,2.5,10,2.8,2.1,0,2,11,1.9,4.0,7,8.0,5,4
1001,ECE,1,Day Scholar,08/02/2025,7.4,4.4,6.6,1.4,78,3.7,1.9,3,1,7,2.2,3.7,7,7.0,4,7
1001,ECE,1,Day Scholar,09-02-2025,,1.5,9.1,2.6,21,,0.5,2,0,3,1.2,3.7,6,,2,6
1001,ECE,1,Day Scholar,2025-02-10,3.0,4.4,5.5,3.6,66,5.2,1.6,0,2,10,0.4,1.9,8,5.0,10,7
1001,ECE,1,Day Scholar,2025-02-11,5.8,4.4,4.9,1.9,32,3.1,3.0,1,0,14,0.3,2.1,7,7.0,7,6
1001,ECE,1,Day Scholar,12/02/2025,7.6,2.1,5.3,2.7,39,2.3,1.7,0,0,12,1.5,2.0,5,6.0,6,5
1001,ECE,1,Day Scholar,13-02-2025,6.2,6.0,4.1,3.1,35,6.0,1.0,0,0,3,0.0,3.8,5,4.0,6,10
1001,ECE,1,Day Scholar,14/02/2025,7.5,2.0,8.5,0.2,0,2.7,2.6,2,0,12,1.5,4.3,7,4.0,4,6
1001,ECE,1,Day Scholar,15-02-2025,6.6,1.6,7.1,5.2,44,2.8,2.2,0,0,0,3.1,3.6,4,9.0,6,7
1001,ECE,1,Day Scholar,2025-02-16,7.0,0.2,5.3,3.0,1,4.4,0.6,1,0,14,0.7,0.9,9,3.0,6,7
1001,ECE,1,Day Scholar,17-02-2025,7.4,3.5,6.2,5.9,28,5.2,1.2,0,0,7,1.5,3.8,5,6.0,8,9
1001,ECE,1,Day Scholar,18/02/2025,7.3,6.3,7.2,0.9,15,3.1,1.7,0,2,12,2.1,2.5,10/10,4.0,7,7
1001,ECE,1,Day Scholar,02/19/2025,4.3,5.3,6.4,3.1,4,1.9,2.6,6,1,10,0.1,2.5,9,4.0,10,5
1001,ECE,1,Day Scholar,20/02/2025,7.0,1.0,4.7,4.1,47,3.9,0.7,0,1,12,2.1,2.0,7,10.0,4,9
1001,ECE,1,Day Scholar,21/02/2025,6.0,3.7,8.9,4.7,19,2.9,1.6,1,0,9,0.0,0.6,5,5.0,8,7
1001,ECE,1,Day Scholar,22/02/2025,9.0,3.3,8.3,4.7,0,3.6,1.4,0,1,13,0.9,3.5,6,6.0,3,8
1001,ECE,1,Day Scholar,23-02-2025,7.3,4.9,3.0,3.0,65,2.6,1.5,5,0,14,0.0,0.5,10,6.0,5,5
1001,ECE,1,Day Scholar,24/02/2025,7.4,2.6,1.0,1.0,54,4.0,2.9,1,3,11,0.4,2.3,9,7.0,6,8
1001,ECE,1,Day Scholar,02/25/2025,8.5,3.3,7.0,2.4,13,2.5,2.2,3,0,7,1.7,2.0,5,10.0,5,8
1001,ECE,1,Day Scholar,26-02-2025,6.1,4.9,6.5,4.7,28,3.9,2.3,0,2,12,1.7,3.1,6,8.0,7,6
1001,ECE,1,Day Scholar,02/27/2025,4.5,3.5,6.8,4.7,28,2.7,3.3,2,1,13,2.1,3.0,9,3.0,10,6
1001,ECE,1,Day Scholar,28/02/2025,6.4,5.6,3.5,3.5,47,3.2,1.2,0,1,12,0.8,1.8,9,6.0,7,7
1001,ECE,1,Day Scholar,01-03-2025,7.1,5.7,8.7,3.0,44,3.4,3.0,0,0,10,0.8,3.9,6,6.0,4,7
1001,ECE,1,Day Scholar,02/03/2025,7.6,4.5,5.1,0.5,20,0.0,0.5,3,1,4,2.3,1.9,7,5.0,8,7
1001,ECE,1,Day Scholar,03/03/2025,6.5,6.0,1.9,1.9,16,2.0,1.6,3,0,1,1.8,1.0,10,5.0,7,6
1001,ECE,1,Day Scholar,03/04/2025,5.7,7.6,6.2,3.9,26,5.5,2.1,1,0,3,3.7,1.2,7,6.0,8,8
1001,ECE,1,Day Scholar,03/05/2025,5.8,5.6,10.3,4.9,38,3.6,1.9,1,0,5,2.6,1.8,8/10,4.0,9,4
1001,ECE,1,Day Scholar,2025-03-06,4.5,9.2,5.8,4.9,0,2.6,2.4,1,2,14,1.7,2.4,10,4.0,9,5
1001,ECE,1,Day Scholar,07-03-2025,8.0,6.6,5.3,3.7,0,5.2,0.4,0,2,2,0.2,3.2,8,6.0,6,7
1001,ECE,1,Day Scholar,08/03/2025,6.6,3.3,8.0,2.2,0,2.9,3.0,0,0,3,2.4,1.5,9,6.0,7,7
1001,ECE,1,Day Scholar,09-03-2025,6.8,5.2,5.6,2.7,29,4.6,1.8,0,0,11,2.2,1.8,6,7.0,4,9
1001,ECE,1,Day Scholar,10-03-2025,7.8,0.4,10.2,2.6,52,1.9,2.3,1,1,11,0.4,1.7,6,7.0,5,7
1001,ECE,1,Day Scholar,11/03/2025,7.0,10.0,5.9,3.0,51,5.2,2.7,1,1,1,1.8,1.1,9,6.0,8,7
1001,ECE,1,Day Scholar,03/12/2025,8.6,6.4,5.5,4.0,53,1.7,2.3,3,1,6,2.2,0.7,7,5.0,7,5
1001,ECE,1,Day Scholar,13/03/2025,3.7,4.5,3.4,3.4,50,2.5,3.6,2,1,8,0.3,0.2,10,6.0,6,9
1001,ECE,1,Day Scholar,2025-03-14,7.4,6.7,5.5,3.3,26,4.3,1.8,1,0,6,0.5,2.1,9,3.0,8,4
1001,ECE,1,Day Scholar,15/03/2025,7.7,3.9,5.6,3.5,10,3.7,0.7,1,1,3,1.5,2.5,7,5.0,7,7
1001,ECE,1,Day Scholar,2025-03-16,6.7,6.6,6.1,2.8,15,2.5,0.7,3,1,6,3.2,1.6,10,3.0,6,6
1001,ECE,1,Day Scholar,17/03/2025,9.0,4.4,6.6,3.6,38,3.2,1.7,0,2,13,0.9,0.4,7,8.0,8,5
1001,ECE,1,Day Scholar,2025-03-18,8.7,5.5,7.1,4.8,22,3.2,1.3,1,0,7,0.5,1.1,7,8.0,4,8
1001,ECE,1,Day Scholar,03/19/2025,6.6,7.4,10.2,1.4,5,4.5,3.4,2,2,5,0.5,2.6,8,5.0,7,9
1001,ECE,1,Day Scholar,20/03/2025,8.2,4.3,4.9,1.1,31,4.7,1.9,1,1,12,2.7,2.5,8,5.0,3,5
1001,ECE,1,Day Scholar,21/03/2025,6.2,6.7,7.4,1.8,0,6.0,0.9,5,1,13,1.1,3.2,10,4.0,8,6
1001,ECE,1,Day Scholar,22-03-2025,5.0,5.9,3.9,3.9,31,3.8,1.6,5,1,8,1.7,1.5,8,,9,7
1001,ECE,1,Day Scholar,23-03-2025,5.7,1.3,6.6,3.1,14,4.3,0.8,1,0,7,1.3,3.5,6,6.0,6,6
1001,ECE,1,Day Scholar,24/03/2025,6.0,6.8,6.3,2.8,38,5.3,2.6,2,2,4,0.0,0.6,7,5.0,8,8
1001,ECE,1,Day Scholar,2025-03-25,3.1,5.5,6.8,1.0,33,3.5,2.3,0,1,7,0.3,1.9,9,4.0,9,3
1001,ECE,1,Day Scholar,03/26/2025,5.4,2.4,6.6,3.0,52,1.8,0.5,1,2,6,1.1,2.7,8,5.0,9,8
1001,ECE,1,Day Scholar,27/03/2025,5.5,7.4,4.6,4.6,32,3.0,1.9,0,0,10,0.2,0.8,9,6.0,7,5
1001,ECE,1,Day Scholar,28-03-2025,8.0,7.8,8.0,1.9,1,5.8,1.5,4,2,11,1.2,2.0,10,5.0,8,7
1001,ECE,1,Day Scholar,29/03/2025,7.9,5.9,4.3,1.5,0,6.0,0.9,2,0,13,1.8,2.8,9,5.0,5,6
1001,ECE,1,Day Scholar,30-03-2025,,9.4,7.0,3.7,43,5.3,1.9,2,0,14,0.2,2.3,8,,7,8
1001,ECE,1,Day Scholar,2025-03-31,6.5,7.1,9.4,3.1,82,4.3,0.4,4,1,9,2.3,0.9,10,3.0,7,7
1002,MECH,2,Hosteller,01/01/2025,7.4,7.1,5.0,1.5,35,5.7,0.6,0,0,14,0.4,1.2,4,5.0,7,8
1002,MECH,2,Hosteller,2025-01-02,8.4,7.5,4.5,4.2,18,3.8,1.1,2,1,9,3.6,3.4,10,4.0,6,7
1002,MECH,2,Hosteller,03/01/2025,5.4,4.5,5.7,2.3,43,4.9,1.9,1,0,1,3.0,1.2,6,7.0,8,5
1002,MECH,2,Hosteller,04/01/2025,7.2,7.9,3.8,2.4,35,5.2,1.6,1,1,2,0.1,0.8,8/10,6.0,8,4
1002,MECH,2,Hosteller,2025-01-05,7.8,4.1,5.3,3.3,26,5.6,0.9,0,1,2,1.4,3.9,6,5.0,4,8
1002,MECH,2,Hosteller,06/01/2025,,5.9,8.5,2.7,25,,1.1,1,0,4,1.2,3.8,6,,6,7
1002,MECH,2,Hosteller,07-01-2025,,2.7,6.5,2.9,44,3.6,1.7,0,2,5,0.9,0.9,8,,6,10
1002,MECH,2,Hosteller,01/08/2025,7.0,3.0,5.4,2.3,19,4.4,1.4,2,2,7,1.9,4.1,8,6.0,4,5
1002,MECH,2,Hosteller,09/01/2025,5.9,8.1,9.5,1.6,15,3.6,2.9,1,1,5,1.6,1.3,8,2.0,10,5
1002,MECH,2,Hosteller,10/01/2025,6.6,3.9,7.0,3.2,29,3.4,1.2,2,0,4,2.5,2.7,9,6.0,5,3
1002,MECH,2,Hosteller,2025-01-11,7.0,7.0,8.4,3.4,45,3.2,0.8,2,2,4,1.6,1.5,9,5.0,7,7
1002,MECH,2,Hosteller,2025-01-12,,3.2,6.4,3.0,34,,1.8,3,0,7,1.3,3.2,9,,10,7
1002,MECH,2,Hosteller,2025-01-13,6.8,9.5,6.7,2.4,33,0.5,1.0,2,0,11,2.6,3.5,3,8.0,5,6
1002,MECH,2,Hosteller,14-01-2025,7.2,4.1,5.3,2.3,11,5.9,1.5,2,1,5,1.5,2.2,8,4.0,15,9
1002,MECH,2,Hosteller,2025-01-15,6.0,5.4,5.0,3.7,57,5.0,0.3,0,0,10,1.6,3.2,4,5.0,8,9
1002,MECH,2,Hosteller,2025-01-16,7.6,5.0,7.3,1.6,33,0.9,0.0,2,1,12,1.0,2.0,8,5.0,6,7
1002,MECH,2,Hosteller,2025-01-17,7.2,4.0,7.5,3.5,11,5.1,1.4,1,1,12,2.3,1.9,7,7.0,6,7
1002,MECH,2,Hosteller,18-01-2025,,2.6,3.9,3.9,64,,1.7,1,3,3,0.6,2.4,10,,9,6
1002,MECH,2,Hosteller,2025-01-19,3.0,5.7,4.7,0.6,40,5.6,1.7,2,1,13,2.5,1.0,8,6.0,10,3
1002,MECH,2,Hosteller,20-01-2025,6.7,7.2,7.2,5.5,32,3.3,1.7,1,0,9,1.1,1.3,5,8.0,7,5
1002,MECH,2,Hosteller,21-01-2025,6.6,1.9,5.4,1.9,36,5.5,0.3,2,1,3,1.6,2.2,4,7.0,6,9
1002,MECH,2,Hosteller,2025-01-22,5.7,2.0,2.3,2.3,26,4.7,3.0,1,2,7,1.0,2.3,10,3.0,8,6
1002,MECH,2,Hosteller,23-01-2025,3.7,3.2,5.6,1.6,27,3.6,1.6,3,1,9,0.8,2.9,8,4.0,10,7
1002,MECH,2,Hosteller,01/24/2025,7.0,2.4,6.2,2.8,25,3.3,0.3,1,0,7,0.0,2.9,7,7.0,7,7
1002,MECH,2,Hosteller,01/25/2025,8.9,3.2,4.1,1.5,24,5.7,2.2,3,1,12,2.0,3.8,9,5.0,3,9
1002,MECH,2,Hosteller,2025-01-26,4.9,2.8,5.1,2.9,26,1.4,2.8,0,0,2,2.6,0.8,3,6.0,9,10
1002,MECH,2,Hosteller,27-01-2025,6.4,2.4,6.0,2.2,27,4.1,0.9,0,1,12,1.1,2.7,6,8.0,7,7
1002,MECH,2,Hosteller,2025-01-28,7.0,4.3,6.9,0.9,7,1.7,1.9,2,1,4,0.4,1.1,6,7.0,5,7
1002,MECH,2,Hosteller,2025-01-29,7.7,1.2,5.7,1.5,25,6.0,2.0,2,0,9,2.4,2.1,5,8.0,2,8
1002,MECH,2,Hosteller,01/30/2025,,3.8,6.6,2.0,47,3.3,0.9,3,0,14,0.6,1.4,6,,6,4
1002,MECH,2,Hosteller,31/01/2025,7.9,4.9,5.9,3.1,40,4.5,2.2,0,0,9,1.6,1.9,8,7.0,6,2
1002,MECH,2,Hosteller,01-02-2025,6.8,4.5,5.2,4.1,48,2.3,2.1,1,1,6,2.5,2.7,8,6.0,7,5
1002,MECH,2,Hosteller,02-02-2025,7.5,5.9,8.4,3.6,37,5.1,1.8,0,0,1,0.6,1.4,6,4.0,5,7
1002,MECH,2,Hosteller,02/03/2025,6.8,4.5,4.4,3.6,48,1.1,1.2,0,0,1,2.3,1.9,6,5.0,3,7
1002,MECH,2,Hosteller,2025-02-04,6.6,5.0,8.7,1.2,0,3.8,3.2,0,1,13,2.7,3.0,8,3.0,7,9
1002,MECH,2,Hosteller,2025-02-05,6.6,3.2,7.8,0.6,29,4.0,1.0,0,1,12,1.5,2.1,6,5.0,6,8
1002,MECH,2,Hosteller,06/02/2025,5.6,4.0,3.3,1.8,20,4.8,2.0,2,1,5,1.7,2.0,10,5.0,9,4
1002,MECH,2,Hosteller,02/07/2025,5.4,4.8,6.1,1.5,51,3.8,1.6,1,0,10,1.5,2.8,4,6.0,4,7
1002,MECH,2,Hosteller,02/08/2025,5.8,4.2,5.1,4.5,36,4.0,2.3,2,1,1,0.4,1.3,7,7.0,9,8
1002,MECH,2,Hosteller,09/02/2025,4.7,7.3,4.5,3.0,27,2.2,0.7,0,0,0,0.0,2.2,5,3.0,7,7
1002,MECH,2,Hosteller,10/02/2025,7.5,0.2,5.8,2.8,40,3.4,3.4,1,1,13,1.7,1.8,6,3.0,6,6
1002,MECH,2,Hosteller,11/02/2025,,6.3,3.3,3.3,43,0.1,1.1,1,0,1,1.4,0.3,7,,9,6
1002,MECH,2,Hosteller,12/02/2025,4.9,3.4,5.2,2.4,55,4.3,0.9,2,1,5,1.7,2.8,7,7.0,7,4
1002,MECH,2,Hosteller,13-02-2025,7.3,2.5,5.7,2.8,41,3.5,0.5,1,0,11,1.3,3.6,3,7.0,7,6
1002,MECH,2,Hosteller,14-02-2025,5.9,5.6,2.8,2.8,70,1.5,2.0,1,4,6,0.8,2.0,8,8.0,6,7
1002,MECH,2,Hosteller,02/15/2025,,4.9,3.6,2.8,61,,1.6,0,1,11,2.4,1.6,6,,6,6
1002,MECH,2,Hosteller,16/02/2025,9.0,4.1,5.3,2.0,44,3.2,1.3,2,2,9,2.8,1.3,10,4.0,1,7
1002,MECH,2,Hosteller,17/02/2025,7.4,4.5,4.1,2.3,43,3.7,2.3,1,1,7,0.6,0.6,7,8.0,7,7
1002,MECH,2,Hosteller,02/18/2025,4.6,4.5,3.5,3.2,47,2.9,0.0,2,2,13,1.7,0.1,9,6.0,7,6
1002,MECH,2,Hosteller,19-02-2025,5.9,3.3,6.1,1.5,8,4.5,0.9,2,0,5,2.7,1.0,6,5.0,7,8
1002,MECH,2,Hosteller,2025-02-20,5.7,7.1,9.5,4.0,31,2.3,1.1,3,0,13,2.0,0.4,10,4.0,9,7
1002,MECH,2,Hosteller,21/02/2025,5.3,0.3,6.3,4.1,49,4.7,1.7,3,1,4,0.2,0.8,8,6.0,8,8
1002,MECH,2,Hosteller,22/02/2025,3.4,4.4,6.9,2.2,15,5.7,1.8,0,2,3,2.0,4.1,8,5.0,9,7
1002,MECH,2,Hosteller,23/02/2025,8.3,2.7,5.4,1.5,9,4.1,2.4,1,1,9,1.6,1.4,5,5.0,3,9
1002,MECH,2,Hosteller,2025-02-24,8.1,2.9,4.6,2.6,15,4.9,3.3,1,0,5,0.8,2.3,7,5.0,6,9
1002,MECH,2,Hosteller,02/25/2025,4.8,3.8,6.5,1.6,10,4.0,1.8,0,1,7,3.0,1.4,6,3.0,10,5
1002,MECH,2,Hosteller,26/02/2025,5.4,3.3,2.5,2.5,48,1.6,1.9,0,0,2,1.9,2.0,6,9.0,7,5
1002,MECH,2,Hosteller,02/27/2025,8.1,6.6,8.0,0.9,48,4.5,0.6,2,0,3,1.3,2.4,10,7.0,7,5
1002,MECH,2,Hosteller,02/28/2025,6.6,4.0,5.3,0.9,27,4.2,1.5,2,0,12,1.9,1.1,7,3.0,7,7
1002,MECH,2,Hosteller,03/01/2025,5.9,7.5,5.0,2.8,28,5.9,2.8,0,1,5,1.8,1.8,7,5.0,7,6
1002,MECH,2,Hosteller,03/02/2025,6.4,4.3,7.4,4.6,18,3.9,2.2,2,2,14,2.0,1.3,9,6.0,7,6
1002,MECH,2,Hosteller,2025-03-03,9.0,4.2,3.2,3.2,44,3.2,3.0,1,1,8,3.5,1.3,6,7.0,5,6
1002,MECH,2,Hosteller,04-03-2025,6.5,2.2,6.0,2.0,20,5.7,0.8,0,0,8,2.3,3.0,6,6.0,7,9
1002,MECH,2,Hosteller,05-03-2025,5.7,3.7,4.3,4.3,54,1.5,0.7,3,1,1,1.6,0.0,8,10.0,6,6
1002,MECH,2,Hosteller,06/03/2025,7.0,5.1,7.8,3.4,38,4.4,3.4,0,1,11,0.4,1.0,8,5.0,6,9
1002,MECH,2,Hosteller,07-03-2025,7.1,4.2,5.4,2.9,0,1.4,2.3,0,1,7,2.5,4.4,4,8.0,3,10
1002,MECH,2,Hosteller,08/03/2025,5.4,6.6,1.0,1.0,36,4.9,1.0,1,0,11,1.6,2.6,6,6.0,7,5
1002,MECH,2,Hosteller,09/03/2025,6.7,0.8,6.5,2.7,14,6.0,2.6,1,0,10,1.8,4.0,6,8.0,6,7
1002,MECH,2,Hosteller,2025-03-10,7.9,4.5,3.4,2.6,13,3.4,2.8,1,0,7,1.0,1.8,8,6.0,6,6
1002,MECH,2,Hosteller,03/11/2025,5.8,5.3,4.7,2.4,56,1.9,1.2,1,0,1,0.9,0.0,8,4.0,9,7
1002,MECH,2,Hosteller,12/03/2025,6.2,5.6,7.2,3.6,15,3.6,2.2,4,2,3,3.0,1.6,9,5.0,7,7
1002,MECH,2,Hosteller,13-03-2025,6.9,8.7,8.1,3.0,48,2.0,2.1,2,0,11,0.4,1.2,8,7.0,5,6
1002,MECH,2,Hosteller,03/14/2025,5.3,8.4,7.0,4.0,16,4.8,0.9,2,0,4,2.4,2.8,7,6.0,9,5
1002,MECH,2,Hosteller,03/15/2025,4.9,6.6,7.3,2.0,41,3.9,1.4,1,0,7,1.2,2.6,6,8.0,9,5
1002,MECH,2,Hosteller,03/16/2025,7.4,5.1,5.1,3.6,15,3.7,2.7,3,0,6,0.7,1.0,7,6.0,6,7
1002,MECH,2,Hosteller,17/03/2025,8.4,8.5,3.4,3.4,56,4.1,2.7,4,3,5,0.1,1.5,10,6.0,6,6
1002,MECH,2,Hosteller,03/18/2025,4.6,6.8,8.2,3.5,43,5.9,1.7,4,2,4,0.8,0.7,10,3.0,9,5
1002,MECH,2,Hosteller,19-03-2025,7.0,5.8,9.6,3.9,39,4.3,2.9,5,1,4,0.0,2.7,10,6.0,7,4
1002,MECH,2,Hosteller,20-03-2025,5.5,6.3,7.9,3.1,36,4.7,2.1,2,0,1,1.2,2.4,8,5.0,9,7
1002,MECH,2,Hosteller,2025-03-21,5.9,7.1,6.6,2.0,26,2.5,1.2,1,0,5,1.2,1.8,7,,8,8
1002,MECH,2,Hosteller,22-03-2025,4.9,4.6,5.0,2.4,14,1.6,1.4,2,1,11,1.7,0.0,8,5.0,10,6
1002,MECH,2,Hosteller,23-03-2025,5.1,4.4,6.0,1.1,45,2.2,1.8,1,1,3,0.3,0.0,8,6.0,10,8
1002,MECH,2,Hosteller,24/03/2025,6.0,8.0,8.4,3.0,6,2.8,3.2,3,2,11,1.4,3.8,10,7.0,7,5
1002,MECH,2,Hosteller,03/25/2025,8.6,10.5,5.7,3.2,0,5.7,0.9,0,1,4,0.6,1.3,9,5.0,5,7
1002,MECH,2,Hosteller,26-03-2025,6.6,7.3,5.3,1.6,19,5.3,1.9,2,1,1,0.7,2.5,8,6.0,6,5
1002,MECH,2,Hosteller,27-03-2025,8.1,5.4,6.9,0.3,18,3.5,1.1,1,0,4,0.8,1.3,7,5.0,7,9
1002,MECH,2,Hosteller,28-03-2025,6.4,4.3,9.9,1.1,53,3.0,1.3,3,1,5,0.4,2.2,7,4.0,8,6
1002,MECH,2,Hosteller,2025-03-29,6.1,7.0,4.2,1.8,19,5.3,1.4,2,1,4,2.2,4.1,8,7.0,8,7
1002,MECH,2,Hosteller,30-03-2025,5.6,7.9,5.6,2.7,31,3.9,1.7,2,4,11,1.7,3.1,10,2.0,7,6
1002,MECH,2,Hosteller,2025-03-31,6.0,8.3,5.1,3.6,26,4.0,0.9,0,2,4,1.3,0.3,10,6.0,9,7
1003,ECE,1,Day Scholar,01/01/2025,5.3,7.6,7.9,2.5,52,1.8,1.1,0,0,0,0.9,3.2,7,3.0,9,6
1003,ECE,1,Day Scholar,02-01-2025,6.9,1.1,5.9,1.2,69,4.9,1.9,1,3,11,2.2,2.2,5,8.0,4,7
1003,ECE,1,Day Scholar,03/01/2025,5.0,8.8,9.0,3.5,31,3.2,1.0,0,1,10,1.6,1.8,9,5.0,8,6
1003,ECE,1,Day Scholar,2025-01-04,6.1,1.8,5.5,1.1,43,0.7,2.6,3,0,1,0.9,3.0,4,9.0,2,6
1003,ECE,1,Day Scholar,01/05/2025,8.1,9.5,5.2,4.2,0,0.5,2.0,1,1,9,1.9,2.4,3,6.0,5,8
1003,ECE,1,Day Scholar,06/01/2025,6.7,2.8,5.6,3.5,33,2.6,2.0,1,0,7,1.9,2.4,4,6.0,8,7
1003,ECE,1,Day Scholar,01/07/2025,5.1,1.3,8.3,4.3,26,2.5,1.5,1,0,7,1.2,0.2,6,6.0,9,7
1003,ECE,1,Day Scholar,2025-01-08,7.4,2.2,9.4,3.0,62,2.4,3.3,2,2,2,0.0,0.7,8,8.0,6,6
1003,ECE,1,Day Scholar,09/01/2025,4.0,4.8,2.4,2.4,28,4.1,1.1,3,1,4,2.8,3.7,10,2.0,8,7
1003,ECE,1,Day Scholar,2025-01-10,7.2,5.3,2.3,1.4,24,3.0,0.8,2,0,1,2.5,3.7,7,6.0,5,7
