student_id,department,year_of_study,residence_type,record_date,sleep_hours,study_hours,screen_time_hours,social_media_hours,physical_activity_minutes,class_attendance_hours,break_hours,assignments_due_count,tests_upcoming_count,submission_deadline_proximity,lab_hours,project_work_hours,stress_level,mood_score,fatigue_level,motivation_score,sleep_deficit,workload_index,distraction_ratio,recovery_balance,deadline_pressure_score,sleep_deficit_scaled,workload_index_scaled,distraction_ratio_scaled,recovery_balance_scaled,deadline_pressure_scaled,attendance_scaled,motivation_scaled,fatigue_scaled,stress_scaled,mood_scaled,productivity_score,burnout_risk_score,burnout_category,burnout_level_detailed,primary_trigger,suggested_action,academic_performance_index
1001,ECE,1,Day Scholar,2025-12-01,8.4,4.0,11.4,3.6,12,1.9,2.2,4,1,10,1.0,2.8,10.0,4.0,4,4,0.0,9.91,0.32,4.7,4,0.0,51.08028807682049,31.57894736842105,80.0,25.0,31.666666666666664,33.33333333333333,33.33333333333333,100.0,33.33333333333333,22.23,30.47,Low,Low,,,15.98
1001,ECE,1,Day Scholar,2025-01-13,7.4,4.7,7.3,4.9,34,2.3,2.6,3,0,5,1.6,2.5,8.0,7.0,6,10,0.6,6.65,0.67,4.39,7,11.999999999999993,33.6889837289944,67.12328767123287,71.8421052631579,62.5,38.33333333333333,100.0,55.55555555555556,77.77777777777779,66.66666666666666,31.78,34.41,Low,Low,,,31.71
1001,ECE,1,Day Scholar,2025-01-14,8.0,6.2,7.3,2.4,45,2.3,1.6,1,1,11,2.2,0.1,7.0,4.0,7,7,0.0,5.71,0.33,4.54,2,0.0,28.674313150173386,32.87671232876712,75.92105263157895,0.0,38.33333333333333,66.66666666666666,66.66666666666666,66.66666666666666,33.33333333333333,31.12,23.48,Low,Low,,,24.79
1001,ECE,1,Day Scholar,2025-01-15,6.5,5.7,4.5,3.1,30,3.439635252554188,3.5,3,1,8,2.1,1.0,9.0,6.0,8,7,1.5,8.72,0.69,4.1,4,30.0,44.758602293945046,68.88888888888889,64.21052631578948,25.0,57.327254209236465,66.66666666666666,77.77777777777779,88.88888888888889,55.55555555555556,27.13,42.58,Moderate,Moderate,,,25.12
1001,ECE,1,Day Scholar,2025-01-16,6.1,3.6,4.7,4.7,38,1.6,2.5,3,0,3,0.8,0.5,7.0,4.0,9,6,1.9,5.8,1.0,3.74,7,38.00000000000001,29.15444118431583,100.0,54.73684210526315,62.5,26.666666666666668,55.55555555555556,88.88888888888889,66.66666666666666,33.33333333333333,11.21,46.88,Moderate,Moderate,,,8.13
1001,ECE,1,Day Scholar,2025-01-17,4.8,4.3,2.0,1.2,60,5.5,1.7,2,1,10,1.0,2.1,7.0,6.0,8,7,3.2,6.86,0.6,3.04,4,64.0,34.80928247532676,60.0,36.3157894736842,25.0,91.66666666666666,66.66666666666666,77.77777777777779,66.66666666666666,55.55555555555556,28.65,43.84,Moderate,Moderate,,,34.12
1001,ECE,1,Day Scholar,2025-01-18,7.4,7.4,3.5,3.5,0,3.3,2.3,2,0,10,1.8,1.2,8.0,6.0,6,6,0.6,5.73,1.0,4.16,4,11.999999999999993,28.781008268871705,100.0,65.78947368421053,25.0,54.99999999999999,55.55555555555556,55.55555555555556,77.77777777777779,55.55555555555556,28.86,33.55,Low,Low,,,26.05
1001,ECE,1,Day Scholar,2025-01-19,7.0,3.3,7.8,3.2,46,4.4,1.1,3,0,9,0.9,1.2,9.0,4.0,8,6,1.0,5.86,0.41,3.95,4,20.0,29.501200320085363,41.02564102564103,60.26315789473684,25.0,73.33333333333334,55.55555555555556,77.77777777777779,88.88888888888889,33.33333333333333,26.63,37.64,Low,Low,,,27.22
1001,ECE,1,Day Scholar,2025-01-20,6.8,9.5,7.9,2.2,48,0.5,2.5,0,1,6,1.8,1.8,3.0,9.0,7,5,1.2,5.48,0.28,4.14,4,24.000000000000004,27.44731928514271,27.848101265822784,65.26315789473684,25.0,8.333333333333332,44.44444444444444,66.66666666666666,22.22222222222222,88.88888888888889,26.06,18.65,Low,Very Low,,,11.56
1001,ECE,1,Day Scholar,2025-01-21,5.2,2.3,8.3,3.7,42,4.4,1.8,0,1,4,0.6,1.6,7.0,5.0,8,9,2.8,3.1,0.45,3.17,7,55.99999999999999,14.750600160042682,44.57831325301205,39.73684210526315,62.5,73.33333333333334,88.88888888888889,77.77777777777779,66.66666666666666,44.44444444444444,28.47,42.07,Moderate,Moderate,,,34.09
1001,ECE,1,Day Scholar,2025-01-22,6.8,5.5,7.7,4.2,20,2.5,2.9,0,1,3,2.4,1.7,7.0,6.0,5,6,1.2,4.35,0.55,4.08,7,24.000000000000004,21.419045078687653,54.54545454545454,63.68421052631579,62.5,41.66666666666667,55.55555555555556,44.44444444444444,66.66666666666666,55.55555555555556,27.66,30.69,Low,Low,,,23.7
1001,ECE,1,Day Scholar,2025-01-23,6.9,3.0,7.0,4.6,27,4.1,2.4,0,1,12,1.1,2.0,8.0,9.0,6,7,1.1,3.46,0.66,4.07,2,21.999999999999993,16.69778607628701,65.71428571428571,63.28947368421054,0.0,68.33333333333333,66.66666666666666,55.55555555555556,77.77777777777779,88.88888888888889,28.68,26.61,Low,Low,,,32.24
1001,ECE,1,Day Scholar,2025-01-24,7.0,3.7,9.7,4.2,66,3.3,2.6,1,0,7,0.0,1.3,5.0,10.0,6,8,1.0,2.87,0.43,4.35,4,20.0,13.523606295012005,43.29896907216496,70.78947368421052,25.0,54.99999999999999,77.77777777777779,55.55555555555556,44.44444444444444,100.0,32.44,18.64,Low,Very Low,,,33.24
1001,ECE,1,Day Scholar,2025-01-25,7.7,3.5,4.2,3.4,3,6.0,2.7,1,1,7,1.0,1.8,9.0,5.0,3,6,0.3,5.06,0.81,4.4,4,5.9999999999999964,25.206721792478,80.95238095238095,72.23684210526316,25.0,100.0,55.55555555555556,22.22222222222222,88.88888888888889,44.44444444444444,36.79,27.36,Low,Low,,,44.03
1001,ECE,1,Day Scholar,2025-01-26,6.6,3.7,7.2,1.5,27,3.7,2.2,0,1,8,0.7,1.6,7.0,8.0,9,7,1.4,3.54,0.21,3.88,4,28.000000000000007,17.071218991731133,20.833333333333332,58.28947368421053,25.0,61.66666666666667,66.66666666666666,88.88888888888889,66.66666666666666,77.77777777777779,28.11,30.66,Low,Low,,,26.63
1001,ECE,1,Day Scholar,2025-01-27,6.7,6.6,8.1,3.0,9,3.1,3.0,0,0,12,2.4,0.0,9.0,5.0,8,6,1.3,2.34,0.37,4.0,2,25.999999999999996,10.696185649506535,37.03703703703704,61.44736842105263,0.0,51.66666666666667,55.55555555555556,77.77777777777779,88.88888888888889,44.44444444444444,30.16,32.18,Low,Low,,,23.59
1001,ECE,1,Day Scholar,2025-01-28,3.7,3.6,8.7,4.0,36,3.5,2.4,0,2,10,2.6,0.3,7.0,6.0,9,5,4.3,5.53,0.46,2.51,4,86.0,27.71405708188851,45.97701149425288,22.368421052631582,25.0,58.333333333333336,44.44444444444444,88.88888888888889,66.66666666666666,55.55555555555556,15.11,48.22,Moderate,Moderate,,,15.05
1001,ECE,1,Day Scholar,2025-01-29,7.5,4.0,10.1,2.4,21,2.8,1.1,0,0,4,0.9,0.3,6.0,6.0,6,3,0.5,1.4,0.24,4.08,7,10.0,5.654841291010937,23.762376237623762,63.55263157894737,62.5,46.666666666666664,22.22222222222222,55.55555555555556,55.55555555555556,55.55555555555556,22.35,22.89,Low,Low,,,16.09
1001,ECE,1,Day Scholar,2025-01-30,6.6,5.4,8.4,3.8,17,2.4,2.3,0,0,1,3.9,1.6,5.0,6.0,4,8,1.4,2.53,0.45,3.84,10,28.000000000000007,11.683115497465995,45.238095238095234,57.49999999999999,100.0,40.0,77.77777777777779,33.33333333333333,44.44444444444444,55.55555555555556,32.75,27.09,Low,Low,,,30.98
1001,ECE,1,Day Scholar,2025-01-31,6.5,6.2,4.1,2.9,60,0.0,1.2,1,0,10,0.6,1.2,5.0,7.0,9,8,1.5,3.69,0.71,3.79,4,30.0,17.898106161643106,70.73170731707317,56.05263157894736,25.0,0.0,77.77777777777779,88.88888888888889,44.44444444444444,66.66666666666666,17.97,31.42,Low,Low,,,9.82
1001,ECE,1,Day Scholar,2025-02-01,8.4,4.6,4.3,4.3,40,1.9,1.6,1,1,3,0.1,2.5,6.0,6.0,4,6,0.0,5.4,1.0,4.72,7,0.0,26.993865030674847,100.0,80.5263157894737,62.5,31.666666666666664,55.55555555555556,33.33333333333333,55.55555555555556,55.55555555555556,23.62,25.79,Low,Low,,,21.38
1001,ECE,1,Day Scholar,2025-02-02,6.6,3.0,6.5,2.7,25,2.1,1.3,0,2,2,2.3,0.1,8.0,5.0,5,7,1.4,5.26,0.42,3.68,10,28.000000000000007,26.300346759135774,41.53846153846154,53.28947368421052,100.0,35.0,66.66666666666666,44.44444444444444,77.77777777777779,44.44444444444444,22.88,38.47,Low,Low,,,21.8
1001,ECE,1,Day Scholar,2025-02-03,6.5,1.6,6.1,3.1,11,3.439635252554188,0.5,0,1,0,1.4,1.5,5.0,6.0,9,9,1.5,2.99,0.51,3.4,10,30.0,14.163777007201924,50.81967213114754,45.92105263157895,100.0,57.327254209236465,88.88888888888889,88.88888888888889,44.44444444444444,55.55555555555556,23.34,38.09,Low,Low,,,27.58
1001,ECE,1,Day Scholar,2025-02-04,5.6,8.9,2.5,1.6,33,3.6,2.2,1,1,7,3.1,1.5,8.0,2.0,9,8,2.4,6.94,0.64,3.4,4,48.00000000000001,35.209389170445455,64.0,45.92105263157894,25.0,60.0,77.77777777777779,88.88888888888889,77.77777777777779,11.11111111111111,32.73,46.96,Moderate,Moderate,,,28.43
1001,ECE,1,Day Scholar,2025-05-02,6.5,4.0,7.9,2.5,56,3.439635252554188,0.0,1,1,7,1.3,2.8,8.0,6.0,6,5,1.5,5.46,0.32,3.53,4,30.0,27.313950386769807,31.645569620253163,49.210526315789465,25.0,57.327254209236465,44.44444444444444,55.55555555555556,77.77777777777779,55.55555555555556,24.18,32.23,Low,Low,,,22.91
1001,ECE,1,Day Scholar,2025-02-06,6.7,5.5,4.3,2.3,40,5.4,2.6,1,0,14,1.6,2.8,6.0,7.0,7,7,1.3,3.95,0.53,4.07,2,25.999999999999996,19.285142704721263,53.48837209302325,63.42105263157896,0.0,90.0,66.66666666666666,66.66666666666666,55.55555555555556,66.66666666666666,37.3,25.16,Low,Low,,,39.71
1001,ECE,1,Day Scholar,2025-07-02,6.9,6.4,5.0,2.5,10,2.8,2.1,0,2,11,1.9,4.0,7.0,8.0,5,4,1.1,7.0,0.5,3.92,2,21.999999999999993,35.582822085889575,50.0,59.473684210526315,0.0,46.666666666666664,33.33333333333333,44.44444444444444,66.66666666666666,77.77777777777779,25.05,25.23,Low,Low,,,20.13
1001,ECE,1,Day Scholar,2025-08-02,7.4,4.4,6.6,1.4,78,3.7,1.9,3,1,7,2.2,3.7,7.0,7.0,4,7,0.6,8.89,0.21,4.47,4,11.999999999999993,45.63883702320619,21.21212121212121,73.94736842105263,25.0,61.66666666666667,66.66666666666666,33.33333333333333,66.66666666666666,66.66666666666666,35.27,22.96,Low,Low,,,35.46
1001,ECE,1,Day Scholar,2025-02-09,6.5,1.5,9.1,2.6,21,3.439635252554188,0.5,2,0,3,1.2,3.7,6.0,6.0,2,6,1.5,4.37,0.29,3.46,7,30.0,21.52574019738597,28.571428571428577,47.23684210526316,62.5,57.327254209236465,55.55555555555556,11.11111111111111,55.55555555555556,55.55555555555556,26.4,23.41,Low,Low,,,31.23
1001,ECE,1,Day Scholar,2025-02-10,3.0,4.4,5.5,3.6,66,5.2,1.6,0,2,10,0.4,1.9,8.0,5.0,10,7,5.0,5.76,0.65,2.15,4,100.0,28.941050946919184,65.45454545454545,12.894736842105258,25.0,86.66666666666667,66.66666666666666,100.0,77.77777777777779,44.44444444444444,22.07,57.67,Moderate,Elevated,Sleep Deficit,Recommend sleep recovery support,26.96
1001,ECE,1,Day Scholar,2025-02-11,5.8,4.4,4.9,1.9,32,3.1,3.0,1,0,14,0.3,2.1,7.0,7.0,7,6,2.2,3.28,0.39,3.66,2,44.00000000000001,15.737530008002137,38.77551020408163,52.63157894736842,0.0,51.66666666666667,55.55555555555556,66.66666666666666,66.66666666666666,66.66666666666666,25.42,29.56,Low,Low,,,23.3
1001,ECE,1,Day Scholar,2025-12-02,7.6,2.1,5.3,2.7,39,2.3,1.7,0,0,12,1.5,2.0,5.0,6.0,6,5,0.4,1.25,0.51,4.34,2,8.000000000000007,4.9079754601226995,50.943396226415096,70.39473684210526,0.0,38.33333333333333,44.44444444444444,55.55555555555556,44.44444444444444,55.55555555555556,20.1,15.59,Low,Very Low,,,18.39
1001,ECE,1,Day Scholar,2025-02-13,6.2,6.0,4.1,3.1,35,6.0,1.0,0,0,3,0.0,3.8,5.0,4.0,6,10,1.8,2.56,0.76,3.48,7,36.0,11.86983195518805,75.60975609756099,47.76315789473684,62.5,100.0,100.0,55.55555555555556,44.44444444444444,33.33333333333333,43.73,32.61,Low,Low,,,51.49
1001,ECE,1,Day Scholar,2025-02-14,7.5,2.0,8.5,0.2,0,2.7,2.6,2,0,12,1.5,4.3,7.0,4.0,4,6,0.5,4.69,0.02,4.27,2,10.0,23.206188316884507,2.3529411764705883,68.68421052631578,0.0,45.0,55.55555555555556,33.33333333333333,66.66666666666666,33.33333333333333,27.82,17.11,Low,Very Low,,,27.06
1001,ECE,1,Day Scholar,2025-02-15,6.6,1.6,7.1,5.2,44,2.8,2.2,0,0,0,3.1,3.6,4.0,9.0,6,7,1.4,1.66,0.73,3.96,10,28.000000000000007,7.095225393438251,73.23943661971832,60.526315789473685,100.0,46.666666666666664,66.66666666666666,55.55555555555556,33.33333333333333,88.88888888888889,21.43,28.02,Low,Low,,,24.14
1001,ECE,1,Day Scholar,2025-02-16,7.0,0.2,5.3,3.0,1,4.4,0.6,1,0,14,0.7,0.9,9.0,3.0,6,7,1.0,1.84,0.57,3.62,2,20.0,8.055481461723128,56.60377358490566,51.71052631578947,0.0,73.33333333333334,66.66666666666666,55.55555555555556,88.88888888888889,22.22222222222222,24.14,30.64,Low,Low,,,31.5
1001,ECE,1,Day Scholar,2025-02-17,7.4,3.5,6.2,5.9,28,5.2,1.2,0,0,7,1.5,3.8,5.0,6.0,8,9,0.6,2.04,0.95,4.08,4,11.999999999999993,9.069085089357163,95.16129032258065,63.68421052631579,25.0,86.66666666666667,88.88888888888889,77.77777777777779,44.44444444444444,55.55555555555556,33.28,27.06,Low,Low,,,40.61
1001,ECE,1,Day Scholar,2025-02-18,7.3,6.3,7.2,0.9,15,3.1,1.7,0,2,12,2.1,2.5,10.0,4.0,7,7,0.7,6.7,0.12,4.06,2,14.000000000000004,33.982395305414784,12.5,63.28947368421052,0.0,51.66666666666667,66.66666666666666,66.66666666666666,100.0,33.33333333333333,33.33,32.75,Low,Low,,,27.97
1001,ECE,1,Day Scholar,2025-02-19,4.3,5.3,6.4,3.1,4,1.9,2.6,6,1,10,0.1,2.5,9.0,4.0,10,5,3.7,13.1,0.48,2.69,4,74.0,68.12483328887704,48.4375,27.105263157894733,25.0,31.666666666666664,44.44444444444444,100.0,88.88888888888889,33.33333333333333,9.47,59.8,Moderate,Elevated,Fatigue,Recommend temporary workload reduction,4.14
1001,ECE,1,Day Scholar,2025-02-20,7.0,1.0,4.7,4.1,47,3.9,0.7,0,1,12,2.1,2.0,7.0,10.0,4,9,1.0,3.02,0.87,3.88,2,20.0,14.297145905574823,87.23404255319149,58.28947368421053,0.0,65.0,88.88888888888889,33.33333333333333,66.66666666666666,100.0,28.26,21.67,Low,Low,,,38.42
1001,ECE,1,Day Scholar,2025-02-21,6.0,3.7,8.9,4.7,19,2.9,1.6,1,0,9,0.0,0.6,5.0,5.0,8,7,2.0,2.73,0.53,3.42,4,40.0,12.776740464123767,52.80898876404494,46.1842105263158,25.0,48.333333333333336,66.66666666666666,77.77777777777779,44.44444444444444,44.44444444444444,22.48,30.99,Low,Low,,,22.41
1001,ECE,1,Day Scholar,2025-02-22,9.0,3.3,8.3,4.7,0,3.6,1.4,0,1,13,0.9,3.5,6.0,6.0,3,8,0.0,3.82,0.57,4.78,2,0.0,18.618298212856764,56.62650602409638,82.10526315789475,0.0,60.0,77.77777777777779,22.22222222222222,55.55555555555556,55.55555555555556,36.31,12.83,Low,Very Low,,,39.76
1001,ECE,1,Day Scholar,2025-02-23,7.3,4.9,3.0,3.0,65,2.6,1.5,5,0,14,0.0,0.5,10.0,6.0,5,5,0.7,9.07,1.0,4.28,2,14.000000000000004,46.59909309149107,100.0,68.81578947368422,0.0,43.333333333333336,44.44444444444444,44.44444444444444,100.0,55.55555555555556,20.27,36.66,Low,Low,,,18.7
1001,ECE,1,Day Scholar,2025-02-24,7.4,2.6,1.0,1.0,54,4.0,2.9,1,3,11,0.4,2.3,9.0,7.0,6,8,0.6,8.8,1.0,4.55,2,11.999999999999993,45.158708989063754,100.0,76.05263157894738,0.0,66.66666666666666,77.77777777777779,55.55555555555556,88.88888888888889,66.66666666666666,26.79,34.51,Low,Low,,,32.59
1001,ECE,1,Day Scholar,2025-02-25,8.5,3.3,7.0,2.4,13,2.5,2.2,3,0,7,1.7,2.0,5.0,10.0,5,8,0.0,6.14,0.34,4.76,4,0.0,30.994931981861836,34.285714285714285,81.44736842105266,25.0,41.66666666666667,77.77777777777779,44.44444444444444,44.44444444444444,100.0,31.24,14.69,Low,Very Low,,,30.99
1001,ECE,1,Day Scholar,2025-02-26,6.1,4.9,6.5,4.7,28,3.9,2.3,0,2,12,1.7,3.1,6.0,8.0,7,6,1.9,6.35,0.72,3.65,2,38.00000000000001,32.061883168845036,72.3076923076923,52.368421052631575,0.0,65.0,55.55555555555556,66.66666666666666,55.55555555555556,77.77777777777779,25.14,31.07,Low,Low,,,26.39
1001,ECE,1,Day Scholar,2025-02-27,4.5,3.5,6.8,4.7,28,2.7,3.3,2,1,13,2.1,3.0,9.0,3.0,10,6,3.5,6.96,0.69,3.05,2,70.0,35.36943184849294,69.11764705882354,36.578947368421055,0.0,45.0,55.55555555555556,100.0,88.88888888888889,22.22222222222222,12.9,52.83,Moderate,Moderate,,,11.59
1001,ECE,1,Day Scholar,2025-02-28,6.4,5.6,3.5,3.5,47,3.2,1.2,0,1,12,0.8,1.8,9.0,6.0,7,7,1.6,4.16,1.0,3.68,2,31.999999999999996,20.40544145105362,100.0,53.026315789473685,0.0,53.333333333333336,66.66666666666666,66.66666666666666,88.88888888888889,55.55555555555556,24.79,38.13,Low,Low,,,24.86
1001,ECE,1,Day Scholar,2025-03-01,7.1,5.7,8.7,3.0,44,3.4,3.0,0,0,10,0.8,3.9,6.0,6.0,4,7,0.9,2.61,0.34,4.37,4,18.000000000000007,12.136569751933852,34.48275862068966,71.3157894736842,25.0,56.666666666666664,66.66666666666666,33.33333333333333,55.55555555555556,55.55555555555556,37.54,18.22,Low,Very Low,,,35.48
1001,ECE,1,Day Scholar,2025-03-03,6.5,6.0,1.9,1.9,16,2.0,1.6,3,0,1,1.8,1.0,10.0,5.0,7,6,1.5,6.77,1.0,3.65,10,30.0,34.329154441184315,100.0,52.36842105263159,100.0,33.33333333333333,55.55555555555556,66.66666666666666,100.0,44.44444444444444,18.45,52.85,Moderate,Moderate,,,13.95
1001,ECE,1,Day Scholar,2025-03-04,5.7,7.6,6.2,3.9,26,5.5,2.1,1,0,3,3.7,1.2,7.0,6.0,8,8,2.3,4.58,0.63,3.4,7,46.0,22.61936516404375,62.903225806451616,45.78947368421053,62.5,91.66666666666666,77.77777777777779,77.77777777777779,66.66666666666666,55.55555555555556,38.74,42.06,Moderate,Moderate,,,40.05
1001,ECE,1,Day Scholar,2025-03-05,5.8,5.6,10.3,4.9,38,3.6,1.9,1,0,5,2.6,1.8,8.0,4.0,9,4,2.2,3.93,0.48,3.47,7,44.00000000000001,19.17844758602294,47.57281553398058,47.63157894736841,62.5,60.0,33.33333333333333,88.88888888888889,77.77777777777779,33.33333333333333,21.37,44.9,Moderate,Moderate,,,15.77
1001,ECE,1,Day Scholar,2025-03-06,4.5,9.2,5.8,4.9,0,2.6,2.4,1,2,14,1.7,2.4,10.0,4.0,9,5,3.5,8.99,0.84,2.73,2,70.0,46.19898639637236,84.48275862068967,28.157894736842103,0.0,43.333333333333336,44.44444444444444,88.88888888888889,100.0,33.33333333333333,18.88,56.35,Moderate,Elevated,Stress,Recommend stress counseling,11.8
1001,ECE,1,Day Scholar,2025-03-07,8.0,6.6,5.3,3.7,0,5.2,0.4,0,2,2,0.2,3.2,8.0,6.0,6,7,0.0,6.65,0.7,4.08,10,0.0,33.6889837289944,69.81132075471699,63.68421052631579,100.0,86.66666666666667,66.66666666666666,55.55555555555556,77.77777777777779,55.55555555555556,37.49,37.55,Low,Low,,,38.81
1001,ECE,1,Day Scholar,2025-08-03,6.6,3.3,8.0,2.2,0,2.9,3.0,0,0,3,2.4,1.5,9.0,6.0,7,7,1.4,1.65,0.28,3.9,7,28.000000000000007,7.015204054414512,27.500000000000004,58.94736842105262,62.5,48.333333333333336,66.66666666666666,66.66666666666666,88.88888888888889,55.55555555555556,27.2,35.28,Low,Low,,,24.74
1001,ECE,1,Day Scholar,2025-03-09,6.8,5.2,5.6,2.7,29,4.6,1.8,0,0,11,2.2,1.8,6.0,7.0,4,9,1.2,2.25,0.48,3.9,2,24.000000000000004,10.216057615364099,48.21428571428572,59.07894736842104,0.0,76.66666666666666,88.88888888888889,33.33333333333333,55.55555555555556,66.66666666666666,41.82,17.96,Low,Very Low,,,46.45
1001,ECE,1,Day Scholar,2025-03-10,7.8,0.4,10.2,2.6,52,1.9,2.3,1,1,11,0.4,1.7,6.0,7.0,5,7,0.2,4.02,0.25,4.62,2,4.0000000000000036,19.65857562016538,25.490196078431378,77.89473684210523,0.0,31.666666666666664,66.66666666666666,44.44444444444444,55.55555555555556,66.66666666666666,22.89,14.52,Low,Very Low,,,23.37
1001,ECE,1,Day Scholar,2025-11-03,7.0,10.0,5.9,3.0,51,5.2,2.7,1,1,1,1.8,1.1,9.0,6.0,8,7,1.0,6.99,0.51,4.3,10,20.0,35.50280074686584,50.847457627118644,69.34210526315789,100.0,86.66666666666667,66.66666666666666,77.77777777777779,88.88888888888889,55.55555555555556,43.74,45.05,Moderate,Moderate,,,38.03
1001,ECE,1,Day Scholar,2025-03-12,8.6,6.4,5.5,4.0,53,1.7,2.3,3,1,6,2.2,0.7,7.0,5.0,7,5,0.0,8.89,0.73,5.02,4,0.0,45.63883702320619,72.72727272727273,88.55263157894736,25.0,28.333333333333332,44.44444444444444,66.66666666666666,66.66666666666666,44.44444444444444,23.0,30.31,Low,Low,,,14.33
1001,ECE,1,Day Scholar,2025-03-13,3.7,4.5,3.4,3.4,50,2.5,3.6,2,1,8,0.3,0.2,10.0,6.0,6,9,4.3,6.44,1.0,2.82,4,86.0,32.54201120298747,100.0,30.526315789473692,25.0,41.66666666666667,88.88888888888889,55.55555555555556,100.0,55.55555555555556,21.33,54.0,Moderate,Moderate,,,24.7
